Metod, Typ, Smak, Bitterhet, Syrlighet, Fyllighet, Styrka, Smak, Bitterhet, Syrlighet, Fyllighet, Styrka
1, 1, 81, 63, 85, 22, 71, 100, 64, 40, 90, 90
1, 1, 42, 42, 61, 35, 19, 100, 64, 62, 100, 66
1, 1, 70, 67, 57, 79, 38, 100, 57, 26, 70, 76
1, 1, 52, 39, 79, 24, 40, 100, 81, 36, 82, 100
1, 1, 55, 46, 44, 52, 37, 100, 56, 57, 60, 76
1, 1, 42, 41, 61, 45, 28, 100, 84, 77, 100, 100
1, 1, 20, 77, 28, 47, 75, 72, 30, 34, 63, 30
1, 1, 68, 51, 45, 52, 60, 100, 40, 40, 52, 63
1, 1, 6, 16, 0, 21, 52, 100, 7, 0, 73, 27
1, 1, 76, 52, 36, 19, 25, 100, 52, 52, 52, 52
1, 1, 65, 75, 60, 65, 80, 100, 25, 25, 75, 70
1, 1, 68, 52, 32, 35, 39, 100, 52, 43, 75, 64
1, 1, 64, 89, 64, 52, 61, 100, 59, 41, 64, 66
1, 1, 83, 38, 66, 88, 39, 100, 84, 52, 100, 90
1, 1, 85, 66, 61, 24, 31, 100, 60, 70, 46, 54
1, 1, 20, 71, 74, 71, 100, 100, 42, 26, 80, 75
1, 1, 75, 52, 65, 30, 65, 100, 60, 50, 60, 65
1, 1, 38, 80, 79, 73, 62, 100, 33, 52, 93, 32
1, 1, 74, 67, 51, 61, 74, 100, 40, 52, 52, 74
1, 1, 46, 34, 26, 34, 24, 100, 35, 25, 97, 59
1, 1, 78, 25, 30, 77, 76, 100, 56, 52, 78, 89
1, 1, 60, 42, 62, 31, 34, 100, 30, 42, 80, 70
1, 1, 86, 27, 30, 52, 47, 100, 45, 37, 74, 52
1, 1, 28, 64, 73, 60, 72, 100, 28, 25, 71, 34
1, 1, 69, 56, 37, 62, 64, 100, 52, 31, 69, 71
1, 1, 71, 32, 23, 33, 41, 100, 21, 31, 80, 100
1, 1, 81, 55, 69, 32, 32, 100, 11, 53, 100, 100
1, 1, 32, 32, 75, 38, 31, 85, 67, 35, 71, 78
1, 1, 57, 44, 42, 22, 44, 100, 52, 36, 76, 94
1, 1, 70, 52, 65, 44, 62, 100, 46, 40, 75, 77
1, 1, 44, 60, 42, 38, 38, 100, 60, 38, 71, 67
1, 1, 45, 63, 67, 36, 44, 100, 45, 30, 62, 70
1, 1, 57, 43, 65, 22, 35, 100, 59, 38, 80, 69
1, 1, 67, 69, 52, 28, 64, 100, 52, 52, 52, 52
1, 1, 37, 61, 26, 14, 32, 100, 20, 21, 83, 66
1, 1, 69, 74, 100, 14, 100, 100, 59, 44, 70, 50
